Age,Experience,Income,ZIPCode,Family,CCAvg,Education,Mortgage,SecuritiesAccount,CDAccount,Online,CreditCard,PersonalLoan
39,15,11,94720,1,1,1,0,No,No,No,No,No
37,13,29,92121,4,0.4,2,155,No,No,Yes,No,No
50,24,22,93943,1,0.3,3,0,No,No,No,Yes,No
35,10,81,90089,3,0.6,2,104,No,No,Yes,No,No
34,9,180,93023,1,8.9,3,0,No,No,No,No,Yes
60,30,22,95054,1,1.5,3,0,No,No,Yes,Yes,No
36,11,152,95521,2,3.9,1,159,No,No,No,Yes,No
56,30,48,94539,1,2.2,3,0,No,No,Yes,Yes,No
59,35,35,93106,1,1.2,3,122,No,No,Yes,No,No
53,28,41,94801,2,0.6,3,193,No,No,No,No,No
30,6,18,91330,3,0.9,3,0,No,No,No,No,No
34,9,60,94122,3,2.3,1,0,No,No,No,No,No
57,31,52,94720,4,2.5,1,0,No,No,No,Yes,No
39,14,43,95014,3,0.7,2,153,No,No,Yes,No,No
40,16,49,92373,1,1.8,1,0,No,No,No,Yes,No
61,37,131,94720,1,2.9,1,0,No,No,Yes,No,No
42,17,32,94523,4,0,2,0,No,No,Yes,No,No
59,35,131,91360,1,3.8,1,0,No,No,Yes,Yes,No
62,36,105,95670,2,2.8,1,336,No,No,No,No,No
47,21,60,93407,3,2.1,1,0,No,No,Yes,Yes,No
42,18,115,91335,1,3.5,1,0,No,No,No,Yes,No
44,20,130,92007,1,5,1,0,No,No,No,Yes,No
28,3,135,94611,2,3.3,1,0,No,No,No,Yes,No
31,7,135,94901,4,3.8,2,0,No,Yes,Yes,Yes,Yes
58,32,12,91320,3,0.3,3,0,No,No,No,No,No
46,20,29,92220,3,0.5,2,0,No,No,No,No,No
54,30,133,93305,2,2.6,3,0,No,No,No,No,Yes
41,16,82,92507,1,4,3,0,No,No,Yes,No,No
46,22,18,91730,1,0.9,3,0,No,No,Yes,No,No
48,22,78,94305,3,1.1,1,0,No,No,Yes,No,No
65,41,51,94117,2,1.1,1,0,No,No,Yes,No,No
43,19,34,94305,3,0.6,2,0,No,No,No,No,No
38,12,48,95617,4,0.2,3,0,No,No,Yes,No,No
41,15,80,95014,1,5.2,1,0,No,No,No,No,No
54,28,161,92121,1,2.9,1,0,No,No,Yes,No,No
43,18,22,95670,2,0.3,2,0,No,No,Yes,No,No
56,32,38,93311,4,1.3,1,166,No,No,Yes,Yes,No
41,14,9,91330,3,1,2,0,No,No,No,No,No
62,38,45,94143,4,1.3,2,0,No,No,Yes,No,No
54,29,35,92831,1,1.5,2,0,No,No,Yes,No,No
52,26,38,91711,3,0.9,3,0,No,No,Yes,No,No
58,32,73,94523,2,0.7,2,0,No,No,Yes,Yes,No
60,35,80,91301,3,0.5,1,0,No,No,Yes,No,No
31,5,115,92096,2,1.3,1,101,No,No,Yes,Yes,No
34,8,82,92646,1,2.7,2,251,No,No,Yes,No,No
41,16,70,92131,3,0.5,3,0,No,No,No,Yes,No
58,34,149,93720,4,7.2,2,0,No,Yes,Yes,Yes,Yes
30,4,39,90245,3,1.1,2,0,No,No,Yes,No,No
58,33,45,93010,4,2.1,1,0,No,No,Yes,Yes,No
51,25,31,90245,2,0.4,3,161,No,No,Yes,Yes,No
35,11,58,95831,3,2,1,149,No,No,Yes,Yes,No
33,9,48,91770,1,2.1,3,0,No,No,No,Yes,No
49,23,70,92093,2,1.5,2,0,No,No,No,No,No
59,35,124,90007,1,7.4,1,0,No,No,No,Yes,No
26,0,132,92834,3,6.5,3,0,No,No,No,Yes,Yes
54,29,58,92612,4,1.3,3,0,No,No,No,No,No
26,0,15,92131,4,0.4,1,0,No,No,No,Yes,No
41,17,83,94025,4,2.67,1,0,No,No,Yes,Yes,No
32,6,79,94720,2,1.5,3,0,No,No,Yes,Yes,No
29,0,134,95819,4,6.5,3,0,No,No,No,No,Yes
61,35,80,95053,2,2.8,1,0,No,No,Yes,No,No
38,12,52,90036,1,2,1,0,No,No,No,No,No
25,1,21,95827,3,1,2,0,No,No,No,No,No
33,9,23,94305,3,0.9,3,0,No,No,Yes,Yes,No
50,26,13,91320,4,1,1,0,No,No,Yes,No,No
52,25,44,93111,3,1,2,135,No,No,Yes,No,No
62,37,11,91942,1,0.1,1,0,No,No,Yes,No,No
51,27,38,90401,2,1,3,164,No,No,Yes,No,No
24,0,135,95133,1,1.5,1,0,No,No,Yes,No,No
29,3,148,92173,3,4.1,1,0,No,No,Yes,No,Yes
60,36,93,92521,1,4.3,1,0,No,No,Yes,No,No
48,24,21,93118,4,0.6,1,0,No,No,Yes,Yes,No
53,29,144,92697,2,6.8,1,0,No,No,Yes,No,No
55,31,9,91345,4,0.7,1,89,No,No,Yes,No,No
32,6,29,91355,1,1.9,3,0,No,No,Yes,Yes,No
35,9,20,94609,2,1.4,3,0,No,No,Yes,Yes,No
30,3,68,94306,4,2,2,0,No,No,Yes,No,No
56,31,61,96150,2,1.9,2,105,No,No,No,No,No
34,10,71,94115,4,0.1,2,0,No,No,No,No,No
40,16,73,94110,4,2.67,1,0,No,No,Yes,Yes,No
27,3,125,95521,2,0.6,1,0,No,No,No,No,No
45,19,83,95051,2,1.7,2,0,No,No,Yes,No,No
52,27,58,94305,4,1.8,3,91,No,No,No,No,No
24,-1,39,94085,2,1.7,2,0,No,No,No,No,No
35,10,61,94304,4,2.1,3,0,No,No,Yes,No,No
62,37,58,91320,4,1.7,1,0,No,No,Yes,No,No
38,8,71,94720,4,1.8,3,0,No,No,Yes,No,No
62,38,83,92521,1,1.8,3,0,No,No,Yes,No,No
28,3,52,94112,4,1.7,2,0,No,No,No,No,No
41,17,78,94025,4,0.8,1,78,No,No,Yes,No,No
38,14,60,94025,2,0.6,3,0,No,No,Yes,Yes,No
55,29,99,92121,2,1.4,1,264,No,No,Yes,Yes,No
26,1,55,90089,3,2.6,3,113,No,No,No,Yes,No
54,28,170,92182,2,6.2,2,325,No,No,Yes,No,Yes
65,40,53,91711,3,2.2,1,0,No,No,No,Yes,No
47,21,138,94583,1,0,1,0,No,No,No,No,No
66,40,42,92103,2,0.7,3,138,No,No,No,Yes,No
66,41,18,92691,3,0.5,1,0,No,No,No,Yes,No
42,16,111,93106,2,1.2,3,251,No,No,Yes,No,Yes
27,1,74,92121,4,1.8,2,112,No,No,Yes,Yes,No
45,19,38,90840,2,0.7,1,0,No,No,No,No,No
64,39,129,94002,1,2.5,1,0,No,No,Yes,No,No
60,36,63,94063,4,2.2,1,0,No,No,Yes,No,No
40,14,70,94923,4,1.4,2,0,No,No,Yes,No,No
41,16,65,90095,3,0.5,3,0,No,No,Yes,No,No
29,2,30,92126,4,1,3,0,No,No,No,No,No
39,14,155,94577,2,3.9,1,0,No,No,Yes,No,No
57,31,65,94118,4,2.6,3,0,No,No,No,Yes,No
34,9,71,91711,4,0.7,3,0,No,No,Yes,No,No
44,19,69,92806,3,0.5,3,0,No,No,Yes,No,No
51,25,45,94806,3,0.6,2,131,No,No,Yes,No,No
42,15,24,92121,3,1,2,0,No,No,Yes,Yes,No
51,25,80,92373,1,4.9,1,0,No,No,No,No,No
45,19,93,90095,4,2.6,3,0,No,No,No,No,No
55,29,79,92373,3,0.8,1,0,No,No,Yes,Yes,No
42,18,33,90401,1,1.4,3,0,No,No,Yes,No,No
57,32,39,90277,4,0.9,1,0,No,No,Yes,Yes,No
34,9,41,93720,3,2.3,1,0,No,No,No,Yes,No
52,27,80,95616,1,1.3,3,0,No,Yes,Yes,Yes,No
28,4,191,90064,1,6.33,1,0,No,No,Yes,No,No
54,30,78,92374,4,1,2,0,No,No,Yes,No,No
59,33,42,95630,1,0.8,2,0,No,No,Yes,No,No
63,38,140,92407,1,2.5,1,0,No,No,No,No,No
57,27,68,94117,1,1.4,3,0,No,No,Yes,No,No
43,19,118,91304,2,3.3,1,0,No,No,No,Yes,No
35,5,22,93407,1,0.67,3,103,No,No,No,No,No
54,24,63,92606,3,1.4,3,138,No,No,Yes,Yes,No
44,19,50,90745,3,2.7,2,0,No,No,Yes,No,No
40,15,173,95060,4,6.6,1,0,No,Yes,Yes,Yes,Yes
53,29,55,95818,4,1.1,2,0,No,No,Yes,No,No
44,20,173,90277,2,1.4,1,419,No,No,Yes,No,No
56,30,24,94704,2,0.4,3,88,No,No,No,No,No
38,14,42,94610,1,2,2,81,No,No,Yes,No,No
32,6,32,93106,1,1.9,3,0,No,No,Yes,No,No
25,0,30,92691,2,1.7,2,0,No,No,No,No,No
50,24,35,92717,1,0.3,3,0,No,No,Yes,No,No
32,8,98,95054,2,2,2,175,No,No,Yes,No,No
63,37,30,92054,2,1,3,159,No,No,Yes,No,No
36,12,25,92101,4,1,1,147,No,No,No,No,No
58,34,19,92029,4,0.7,1,0,No,No,No,No,No
49,25,20,90291,4,1,1,111,No,No,Yes,Yes,No
33,7,90,92346,3,1.6,1,0,No,No,Yes,No,No
